Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	8.09740858e-8	8.33702015e-8	3.57818e-7
4.0	8.58216615e-8	9.56671926e-8	3.38372e-7
5.0	9.63728995e-8	1.08535613e-7	3.35404e-7
6.0	1.04688134e-7	1.19250854e-7	3.55924e-7
7.0	1.1340091e-7	1.32422633e-7	3.8257599999999997e-7
8.0	1.25628809e-7	1.44549441e-7	4.05646e-7
9.0	1.35246191e-7	1.56883964e-7	4.2757000000000006e-7
10.0	1.46366983e-7	1.70500795e-7	4.60738e-7
11.0	1.56063302e-7	1.90953408e-7	4.80472e-7
12.0	1.73251627e-7	2.14572938e-7	5.35722e-7
13.0	1.77590644e-7	2.43998834e-7	5.473079999999999e-7
14.0	1.89784946e-7	2.59769022e-7	5.93612e-7
15.0	2.01536814e-7	2.78119392e-7	6.18312e-7
