Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	1.97006876e-7	2.48039254e-7	5.09684e-7
4.0	2.26763418e-7	2.69251389e-7	6.8877e-7
5.0	2.71519583e-7	3.06147881e-7	6.19892e-7
6.0	3.11976468e-7	3.44360316e-7	9.433119999999999e-7
7.0	3.52331897e-7	3.83547548e-7	1.0575960000000001e-6
8.0	3.86891858e-7	4.20988181e-7	1.15501e-6
9.0	4.26881664e-7	4.58251778e-7	1.257068e-6
10.0	4.62966835e-7	4.98812924e-7	1.365808e-6
11.0	4.98012974e-7	5.43507737e-7	1.465188e-6
12.0	5.35153125e-7	6.05852595e-7	1.611794e-6
13.0	5.71749029e-7	6.69750241e-7	1.708042e-6
14.0	6.07543604e-7	7.11350036e-7	1.8397020000000002e-6
15.0	6.68323993e-7	7.71544125e-7	1.94721e-6
