Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	8.84836037e-8	1.15070238e-7	2.9389e-7
4.0	7.89148828e-8	1.03463869e-7	2.5082e-7
5.0	7.61789568e-8	1.00141596e-7	2.38658e-7
6.0	7.97577001e-8	9.70649091e-8	2.1956000000000002e-7
7.0	8.03277649e-8	9.66481114e-8	2.23488e-7
8.0	7.65925011e-8	9.13968646e-8	2.1401999999999998e-7
9.0	8.03841367e-8	9.10030146e-8	2.2473e-7
10.0	7.71135704e-8	9.15792663e-8	2.15828e-7
11.0	8.08583631e-8	9.66184487e-8	2.1105e-7
12.0	7.97363722e-8	9.21823039e-8	2.12618e-7
13.0	8.84761836e-8	9.4474303e-8	2.2645999999999998e-7
14.0	8.39218924e-8	9.886527e-8	2.2851400000000003e-7
15.0	9.87053768e-8	1.10697231e-7	2.31808e-7
